Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,year,month,day,acq_time_str,hours,minutes,season,region_cluster,cluster_fire_count,monthly_cluster_fire_count,brightness_diff,high_risk,frp_category
5948,22.1344,82.175,322.5,1.2,1.1,2017-02-08,803,1,MODIS,64,6.2,310.6,10.5,1,0,2017,2,8,803,8,3,1,5,47348,2034,11.899999999999975,0,Medium
441930,14.9966,75.7543,321.5,1.0,1.0,2022-02-16,526,0,MODIS,56,6.03,305.0,8.4,1,0,2022,2,16,526,5,26,1,14,36148,10539,16.5,0,Low
632486,19.6743,83.4284,333.6,2.3,1.5,2024-04-19,753,1,MODIS,79,61.03,309.5,66.4,1,0,2024,4,19,753,7,53,2,1,73921,9197,24.100000000000023,0,Extreme
746087,30.0947,76.6041,317.6,1.0,1.0,2025-10-24,932,1,MODIS,70,61.03,300.9,9.9,1,0,2025,10,24,932,9,32,4,0,167610,39610,16.700000000000045,0,Low
546129,25.272,93.2512,314.4,3.1,1.7,2023-03-13,753,1,MODIS,54,61.03,296.7,36.9,1,0,2023,3,13,753,7,53,2,11,41370,18499,17.69999999999999,0,High
640517,25.2211,83.5765,339.1,1.3,1.1,2024-05-05,443,0,MODIS,82,61.03,316.9,26.7,1,0,2024,5,5,443,4,43,2,12,49232,3184,22.200000000000045,1,Medium
463955,24.8615,83.1565,333.0,1.3,1.1,2022-03-26,802,1,MODIS,62,6.03,316.6,17.1,1,0,2022,3,26,802,8,2,2,12,49232,10270,16.399999999999977,0,Medium
379778,24.2363,82.2149,356.1,1.1,1.0,2021-04-01,757,1,MODIS,97,6.03,323.5,54.5,1,0,2021,4,1,757,7,57,2,5,47348,16741,32.60000000000002,1,High
107655,16.2796,78.8271,326.2,1.4,1.2,2018-03-11,827,1,MODIS,58,6.03,309.8,13.0,1,0,2018,3,11,827,8,27,2,14,36148,12659,16.399999999999977,0,Medium
579120,30.8228,74.6784,318.4,1.5,1.2,2023-10-29,818,1,MODIS,38,61.03,299.0,15.5,1,0,2023,10,29,818,8,18,4,0,167610,39610,19.399999999999977,0,Medium
326091,17.6168,77.1469,331.0,1.1,1.0,2021-01-09,808,1,MODIS,81,6.03,304.3,20.8,1,0,2021,1,9,808,8,8,1,9,27481,3684,26.69999999999999,1,Medium
322072,20.9407,82.0117,318.8,1.1,1.0,2020-12-17,802,1,MODIS,70,6.03,300.2,10.4,1,0,2020,12,17,802,8,2,1,1,73921,11178,18.600000000000023,0,Medium
460772,25.3243,93.3188,379.3,1.5,1.2,2022-03-22,649,1,MODIS,100,6.03,305.5,266.1,1,0,2022,3,22,649,6,49,2,11,41370,18499,73.80000000000001,1,Extreme
739557,22.0414,83.7373,322.1,3.0,1.7,2025-05-11,436,0,MODIS,52,61.03,298.3,36.3,1,2,2025,5,11,436,4,36,2,1,73921,4396,23.80000000000001,0,High
423164,30.4514,76.0561,321.7,1.0,1.0,2021-11-09,812,1,MODIS,73,6.03,301.3,11.7,1,0,2021,11,9,812,8,12,4,0,167610,73042,20.399999999999977,0,Medium
564203,21.2464,79.3356,333.0,1.0,1.0,2023-04-18,507,0,MODIS,71,61.03,313.6,12.3,1,0,2023,4,18,507,5,7,2,5,47348,16741,19.399999999999977,0,Medium
245463,30.374,74.3926,317.0,1.8,1.3,2019-11-23,842,1,MODIS,71,6.03,295.1,23.7,1,0,2019,11,23,842,8,42,4,0,167610,73042,21.899999999999977,0,Medium
